"id","order","score","weight","color","label"
"사람",5.0,76.26,200,"#EB2431","사람"
"지구",5.0,84.8,61,"#EB2431","지구"
"번영",5.0,89.5,252,"#EAF195","번영"
"평화",5.0,57.0,35,"#C7E89E","평화"
"파트너십",5.0,94.9,36,"#9CD6A4","파트너십"
